gene_callers_id	FAGR_M16	FAGR_M17	FAGR_M18	FAGR_M19	FAGR_M20
107105	0.0	0.0	0.0	0.0	0.0
107106	0.0	0.0	0.0	0.0	0.0
107107	0.0	0.0	0.0	0.0	0.0
107108	0.0	0.0	0.0	0.0	0.0
107109	0.0	0.0	0.0	0.0	0.0
107110	0.0	0.0	0.0	0.24433656957928804	0.0
107111	3.1390134529147984	3.083208769307424	2.9995017438963627	2.1066268061783755	4.130543099152964
107112	0.0	0.1321084864391951	0.0	0.0	0.0
107113	0.0	0.0	0.0	0.0	0.0
107114	0.3457638207392869	0.3457638207392869	0.0	0.09878966306836769	0.0
107115	0.0	0.0	0.0	0.0	0.0
107116	0.0	0.0	0.0	0.0	0.0
107117	0.0	0.0	0.0	0.0	0.0
107118	0.0	0.0	0.0	0.0	0.0
107119	0.0	0.0	0.0	0.0	0.0
107120	0.6213991769547325	0.20713305898491083	0.0	0.41426611796982166	0.0
107121	0.0	0.0	0.0	0.0	0.0
107122	0.0	0.0	0.0	0.0	0.0
107123	0.0	0.0	0.0	0.0	0.0
107124	0.0	0.0	0.0	0.0	0.0
107125	0.0	0.0	0.0	0.0	0.0
107126	0.0	0.0	0.0	0.0	0.0
107127	0.0	0.0	0.0	0.3333333333333333	0.0
107128	0.0	0.0	0.0	0.0	0.0
107129	0.0	0.0	0.0	0.0	0.0
107130	0.0	0.0	0.0	0.0	0.0
107131	0.0	0.0	0.0	0.0	0.0
107132	0.0	0.0	0.0	0.0	0.0
107133	0.0	0.0	0.0	0.0	0.0
107134	0.0	0.0	0.0	0.0	0.0
107135	0.0	0.0	0.0	0.0	0.0
107136	0.0	0.0	0.0	0.0	0.0
107137	0.0	0.0	0.0	0.0	0.0
107138	0.0	0.0	0.0	0.0	0.0
107139	0.0	0.0	0.0	0.0	0.0
107140	0.29838709677419356	0.0	0.0	0.0	0.10013440860215053
107141	0.0	0.0	0.0	0.0	0.0
107142	0.0	0.0	0.0	0.10464310464310464	0.0
107143	0.0	0.0	0.0	0.5058626465661642	0.0
107144	0.5115176151761518	0.30691056910569103	0.0	0.2046070460704607	0.2046070460704607
107145	0.0	0.0	0.0	0.0	0.0
107146	1.4803921568627452	0.0	0.0	0.0	0.0
107147	0.0	0.0	0.0	0.0	0.0
107148	0.0	0.0	0.09660908509277032	0.0	0.0
107149	0.0	0.0	0.0	0.0	0.0
107150	0.0	0.0	0.0	0.0	0.0
107151	0.0	0.0	0.0	0.0	0.0
107152	0.0	0.0	0.0	0.0	0.0
107153	0.0	0.0	0.0	0.0	0.0
107154	0.0	0.0	0.0	0.0	0.0
107155	0.0	0.0	0.0	0.0	0.0
107156	0.0	0.0	0.0	0.0	0.0
107157	0.0	0.0	0.0	0.0	0.0
107158	0.0	0.0	0.0	0.0	0.0
107159	0.0	0.0	0.0	0.0	0.0
