gene_callers_id	ACSA_M21	ACSA_M22	ACSA_M23	ACSA_M24	ACSA_M25
238108	0.0	0.0	0.0	0.0	0.0
238109	0.0	0.0	0.0	0.0	0.0
238110	0.0	0.0	0.0	0.0	0.0
238111	0.0	0.0	0.0	0.0	0.0
238112	0.0	0.0	0.0	0.0	0.0
238113	0.0	0.0	0.0	0.0	0.0
238114	0.0	0.0	0.0	0.0	0.0
238115	0.0	0.0	0.0	0.0	0.0
238116	0.0	0.0	0.0	0.0	0.0
238117	0.0	0.0	0.0	0.0	0.0
238118	0.0	0.0	0.0	0.0	0.0
238119	0.0	0.0	0.0	0.0	0.0
238120	0.0	0.0	0.0	0.0	0.0
238121	0.0	0.0	0.0	0.0	0.0
238122	0.0	0.0	0.2308868501529052	0.2308868501529052	1.154434250764526
238123	0.0	0.0	0.0	0.0	0.18627450980392157
238124	0.0	0.0	0.0	0.0	0.3609671848013817
238125	0.0	0.0	0.0	0.0	0.0
238126	0.0	0.0	0.3647342995169082	0.0	1.458937198067633
238127	0.19973544973544974	0.0	0.0	0.0	0.0
238128	0.0	0.0	0.0	0.40710382513661203	0.825136612021858
238129	0.0	0.0	0.0	0.0	0.7587939698492462
238130	0.3922077922077922	0.13073593073593073	0.26147186147186147	0.5229437229437229	0.13073593073593073
238131	0.4348452123830094	0.2174226061915047	0.20086393088552915	1.304535637149028	0.4348452123830094
238132	0.0	0.0	0.0	0.0	0.0
238133	0.0	0.0	0.3378076062639821	0.1476510067114094	0.0
238134	0.0	0.0	0.0	0.0	0.0
238135	0.0	0.0	0.0	0.0	0.0
238136	0.0	0.0	0.0	0.0	0.0
238137	0.0	0.0	0.0	0.0	0.0
238138	0.0	0.0	0.0	0.0	0.0
238139	0.0	0.0	0.0	0.0	0.0
238140	0.0	0.0	0.0	0.0	0.0
238141	0.0	0.0	0.0	0.0	0.0
238142	0.0	0.0	0.0	0.0	0.0
238143	0.0	0.0	0.0	0.0	0.5567846607669616
238144	0.0	0.0	0.0	0.0	0.0
238145	0.0	0.0	0.0	0.11235119047619048	0.0
238146	0.0	0.0	0.0	0.0	0.0
238147	0.0	0.0	0.0	0.0	0.0
238148	0.0	0.0	0.0	0.0	0.0
238149	0.0	0.0	0.0	0.0	0.0
238150	0.0	0.0	0.0	0.0	0.0
238151	0.0	0.0	0.0	0.0	0.0
238152	0.0	0.0	0.0	0.0	0.0
238153	0.0	0.0	0.0	0.0	0.0
238154	0.0	0.0	0.0	0.0	0.0
238155	0.0	0.0	0.0	0.0	0.0
238156	0.0	0.0	0.0	0.0	0.0
238157	0.0	0.0	0.0	0.0	0.0
238158	0.0	0.0	0.0	0.0	0.0
238159	0.0	0.0	0.0	0.0	0.0
238160	0.0	0.0	0.0	0.08723281340265743	0.0
238161	0.0	0.0	0.0	0.0	0.0
238162	0.0	0.0	0.0	0.0	0.0
238163	0.0	0.0	0.0	0.0	0.0
238164	0.0	0.0	0.0	0.0	0.0
238165	0.0	0.0	0.0	0.0	0.0
238166	0.0	0.0	0.0	0.0	0.06973995271867613
238167	0.0	0.0	0.0	0.0	0.0011074197120708748
238168	0.0	0.0	0.0	0.0	0.0
238169	0.0	0.0	0.0	0.0	0.0
238170	0.0	0.0	0.0	0.0	0.0
238171	0.0	0.0	0.0	0.0	0.0
238172	0.0	0.0	0.0	0.0	0.0
238173	0.0	0.0	0.0	0.0	0.0
238174	0.0	0.0	0.0	0.0	0.0
238175	0.0	0.0	0.0	0.0	0.0
238176	0.0	0.0	0.0	0.0	0.0
238177	0.0	0.0	0.0	0.0	0.0
238178	0.0	0.0	0.0	0.0	0.0
238179	0.0	0.0	0.0	0.0	0.0
238180	0.0	0.0	0.0	0.0	0.0
238181	0.0	0.0	0.0	0.0	0.0
238182	0.0	0.0	0.0	0.0	0.0
238183	0.0	0.0	0.0	0.0	0.0
238184	0.0	0.0	0.0	0.0	0.0
238185	0.0	0.0	0.0	0.0	0.0
238186	0.0	0.0	0.0	0.0	0.0
238187	0.0	0.0	0.0	0.0	0.0
238188	0.0	0.0	0.0	0.0	0.0
238189	0.0	0.0	0.0	0.0	0.0
238190	0.0	0.0	0.0	0.0	0.0
238191	0.0	0.0	0.0	0.0	0.0
238192	0.0	0.0	0.0	0.0	0.0
238193	0.0	0.0	0.0	0.0	0.0
238194	0.0	0.0	0.0	0.0	0.0
238195	0.0	0.0	0.0	0.0	0.0
238196	0.0	0.0	0.0	0.0	0.0
238197	0.0	0.0	0.0	0.0	0.0
238198	0.0	0.0	0.0	0.0	0.0
238199	0.0	0.0	0.0	0.0	0.0
238200	0.0	0.0	0.0	0.0	0.0
238201	0.0	0.0	0.0	0.0	0.0
238202	0.0	0.0	0.0	0.0	0.0
238203	0.0	0.0	0.0	0.0	0.0
238204	0.0	0.0	0.0	0.0	0.0
238205	0.0	0.0	0.0	0.0	0.0
238206	0.0	0.12366912366912367	0.0	0.0	0.0
238207	0.0	0.0	0.0	0.0	0.0
238208	0.0	0.0	0.0	0.0	0.0
238209	0.0	0.0	0.0	0.0	0.0
238210	0.0	0.0	0.0	0.0	0.0
238211	0.0	0.0	0.0	0.0	0.0
238212	0.0	0.0	0.0	0.0	0.0
238213	0.0	0.0	0.0	0.0	0.0
238214	0.0	0.0	0.0	0.0	0.0
