gene_callers_id	ABBA_M11	ABBA_M12	ABBA_M13	ABBA_M14	ABBA_M15
37892	0.0	0.0	0.0	0.0	0.0
37893	0.0	0.0	0.0	0.0	0.0
37894	0.0	0.0	0.0	0.0	0.0
37895	0.0	0.0	0.0	0.0	0.0
37896	0.0	0.0	0.0	0.0	0.0
37897	0.0	0.0	0.0	0.0	0.0
37898	0.0	0.0	0.0	0.0	0.0
37899	0.0	0.6553819444444444	0.0	1.4418402777777777	0.0
37900	0.0	0.0	0.0	0.0	0.0
37901	0.0	0.0	0.0	0.0	0.0
37902	0.0	0.0	0.0	0.0	0.0
37903	0.0	0.0	0.0	0.0	0.0
37904	0.0	0.0	0.0	0.0	0.0
37905	0.0	0.0	0.0	0.0	0.0
37906	0.0	0.0	0.0	0.0	0.0
37907	0.0	0.10709219858156029	0.0	0.32127659574468087	0.749645390070922
37908	0.0	0.0	0.0	0.0	0.0
37909	0.0	0.0	0.0	0.0	0.0
37910	0.0	0.0	0.0	0.0	0.0
37911	0.0	0.0	0.0	0.0	0.0
37912	0.0	0.0	0.0	0.0	0.0
37913	0.0	0.0	0.0	0.0	0.0
37914	0.0	0.0	0.0	0.0	0.0
37915	0.0	0.0	0.0	0.0	0.0
37916	0.0	0.0	0.0	0.0	0.0
37917	0.0	0.0	0.0	0.0	0.0
37918	0.0	0.12055888223552894	0.0	0.0	0.0
37919	0.0	0.0	0.0	0.0	0.0
37920	0.0	0.0	0.0	0.0	0.0
37921	0.0	0.6244131455399061	0.0	0.0	0.0
37922	0.0	0.0	0.0	0.0	0.0
37923	0.0	0.0	0.0	0.0	0.0
37924	0.286527514231499	0.1432637571157495	0.09550917141049968	0.2387729285262492	0.0
37925	0.0	0.0	0.0	0.0	0.0
37926	0.0	0.0	0.0	0.0	0.0
37927	0.0	0.0	0.0	0.0	0.0
37928	0.0	0.17942583732057416	0.48165869218500795	0.060207336523125994	0.42145135566188197
37929	0.0	0.0	0.0	0.0	0.0
37930	0.0	0.0	0.0	0.0	0.0
37931	0.0	0.0	0.0	0.0	0.0
37932	0.0	0.0	0.0	0.0	0.0
37933	0.0	0.0	0.0	0.0	0.0
37934	0.0	0.09514807813484562	0.0	0.0	0.0
37935	0.0	1.1705426356589148	0.0	0.7448907681465821	0.0
37936	0.0	0.0	0.0	0.0	0.0
37937	0.0	1.9803094233473981	0.0	0.0	0.0
37938	0.0	0.13783403656821377	0.0	0.0	0.0
37939	0.0	0.0	0.0	0.0	0.0
37940	0.0	0.0	0.0	0.46283524904214557	0.0
37941	0.0	0.0	0.0	0.0	0.0
37942	0.0	0.0	0.0	0.0	0.0
37943	0.0	0.0	0.0	0.0	0.0
37944	0.25166666666666665	0.41944444444444445	1.1744444444444444	0.5033333333333333	0.41944444444444445
37945	0.0	0.0	0.0	0.0	0.0
37946	0.0	0.0	0.0	0.0	0.0
37947	0.0	0.0	0.0	0.0	0.0
37948	0.36081242532855434	1.2150537634408602	0.11708482676224612	0.36081242532855434	0.0
37949	0.0	0.4645390070921986	0.5602836879432624	0.0	0.0
37950	0.0	0.0	0.0	0.0	0.0
37951	0.0	0.0	0.0	0.0	0.0
37952	0.0	0.0	0.0	0.0	0.0
37953	0.0	0.0	0.0	0.0	0.0
37954	0.0	0.0	0.0	0.0	0.0
37955	0.0	0.0	0.0	0.0	0.0
37956	0.0	0.17507246376811594	0.0	0.0	0.0
37957	0.0	0.0	0.0	0.0	0.0
37958	0.0	0.0	0.0	0.0	0.0
37959	0.0	0.0	0.6677722498618021	0.4173576561636263	0.0
37960	0.0	0.0	0.29434697855750486	0.8362573099415205	0.0
37961	0.0	0.0	0.0	0.0	0.0
37962	0.0	0.0	0.0	0.0	0.0
37963	0.0	0.0	0.0	0.0	0.0
37964	0.0	0.0	0.0	0.0	0.0
37965	0.0	0.0	0.0	0.0	0.0
37966	0.0	0.0	0.0	0.0	0.0
37967	0.0	0.0	0.0	0.0	0.0
37968	0.0	0.0	0.0	0.0	0.0
37969	0.0	0.0	0.0	0.0	0.0
37970	0.0	0.0	0.0	0.0	0.0
37971	0.0	0.0	0.0	0.0	0.0
37972	0.0	0.0	0.0	0.0	0.0
37973	0.0	0.0	0.0	0.0	0.0
37974	0.0	0.0	0.0	0.0	0.0
37975	0.0	0.0	0.0	0.0	0.0
37976	0.0	0.0	0.0	0.0	0.0
37977	0.0	0.0	0.0	0.0	0.0
37978	0.0	0.0	0.0	0.0	0.0
37979	0.0	0.0	0.0	0.0	0.0
37980	0.0	0.0	0.0	0.0	0.0
37981	0.0	0.0	0.0	0.0	0.0
37982	0.0	0.0	0.0	0.0	0.0
37983	0.0	0.0	0.0	0.0	0.0
37984	0.0	0.0	0.0	0.0	0.0
37985	0.0	0.1310763888888889	0.0	0.0	0.0
37986	0.0	0.0	0.0	0.0	0.0
37987	0.0	0.0	0.0	0.0	0.0
37988	0.0	0.0	0.0	0.0	0.0
37989	0.0	0.0	0.0	0.0	0.0
37990	0.0	0.0	0.0	0.0	0.0
37991	0.0	0.0	0.0	0.0	0.0
37992	0.0	0.0	0.0	0.0	0.0
37993	0.0	0.0	0.0	0.0	0.0
37994	0.0	0.0	0.0	0.0	0.0
37995	0.0	0.0	0.0	0.0	0.0
37996	0.0	0.0	0.0	0.0	0.0
37997	0.0	0.0	0.0	0.0	0.0
37998	0.0	0.0	0.0	0.0	0.0
37999	0.0	0.0	0.0	0.0	0.0
38000	0.0	0.0	0.0	0.0	0.0
38001	0.0	0.0	0.0	0.0	0.0
38002	0.0	0.0	0.0	0.0	0.0
38003	0.0	0.0	0.0	0.0	0.0
38004	0.0	0.0	0.0	0.0	0.0
38005	0.0	0.0	0.0	0.0	0.0
38006	0.0	0.0	0.0	0.0	0.0
38007	0.0	0.0	0.0	0.0	0.0
38008	0.0	0.0	0.0	0.0	0.0
38009	0.0	0.0	0.0	0.0	0.0
38010	0.0	0.0	0.0	0.0	0.0
38011	0.0	0.0	0.0	0.0	0.0
38012	0.0	0.0	0.0	0.0	0.0
38013	0.0	0.0	0.0	0.0	0.0
38014	0.0	0.0	0.0	0.0	0.0
38015	0.0	0.0	0.0	0.0	0.0
38016	0.0	0.0	0.0	0.0	0.0
38017	0.0	0.0	0.0	0.0	0.0
38018	0.0	0.0	0.0	0.0	0.0
38019	0.0	0.0	0.0	0.0	0.0
38020	0.0	0.0	0.0	0.0	0.0
38021	0.0	0.0	0.0	0.0	0.0
38022	0.0	0.0	0.0	0.0	0.0
38023	0.0	0.0	0.0	0.0	0.0
38024	0.0	0.0	0.0	0.0	0.0
38025	0.0	0.0	0.0	0.0	0.0
38026	0.0	0.0	0.0	0.0	0.0
38027	0.0	0.0	0.0	0.0	0.0
38028	0.0	0.0	0.0	0.0	0.0
38029	0.0	0.0	0.0	0.0	0.0
38030	0.0	0.0	0.0	0.0	0.0
38031	0.0	0.0	0.0	0.0	0.0
38032	0.0	0.0	0.0	0.0	0.0
38033	0.0	0.0	0.0	0.0	0.0
38034	0.0	0.0	0.0	0.0	0.0
38035	0.0	0.0	0.0	0.0	0.0
38036	0.0	0.0	0.0	0.0	0.0
38037	0.0	0.0	0.0	0.0	0.0
38038	0.0	0.0	0.0	0.0	0.0
38039	0.0	0.0	0.0	0.0	0.0
38040	0.0	0.0	0.0	0.0	0.0
38041	0.0	0.0	0.0	0.0	0.0
38042	0.0	0.0	0.0	0.0	0.0
38043	0.0	0.0	0.0	0.0	0.0
38044	0.0	0.0	0.0	0.0	0.0
38045	0.0	0.0	0.0	0.0	0.0
38046	0.0	0.0	0.0	0.0	0.0
38047	0.0	0.0	0.0	0.0	0.0
38048	0.0	0.0	0.0	0.0	0.0
38049	0.0	0.0	0.0	0.0	0.0
38050	0.0	0.0	0.0	0.0	0.0
38051	0.0	0.0	0.0	0.0	0.0
38052	0.0	0.0	0.0	0.0	0.0
38053	0.0	0.0	0.0	0.0	0.0
38054	0.0	0.0	0.0	0.0	0.0
38055	0.0	0.0	0.0	0.0	0.0
38056	0.0	0.0	0.0	0.0	0.0
38057	0.0	0.0	0.0	0.0	0.0
38058	0.0	0.0	0.0	0.0	0.0
38059	0.0	0.0	0.0	0.0	0.0
38060	0.0	0.0	0.0	0.0	0.0
38061	0.0	0.0	0.0	0.0	0.0
38062	0.0	0.0	0.0	0.0	0.0
38063	0.0	0.0	0.0	0.0	0.0
38064	0.0	0.0	0.0	0.0	0.0
38065	0.0	0.0	0.0	0.0	0.0
38066	0.0	0.0	0.0	0.0	0.0
38067	0.0	0.0	0.0	0.0	0.0
38068	0.0	0.0	0.0	0.0	0.0
38069	0.0	0.0	0.0	0.0	0.0
